node, 3, 0, -1.5
node, 4, 0, 1.5
node, 5, -2, 0.5
node, 6, -4, -0.5
node, 7, 6, -1.5
node, 0, -6, -1.5
node, 8, 4, -1.5
node, 1, -4, -1.5
node, 2, -2, -1.5
node, 9, 2, -1.5
node, 10, 2, 0.5
node, 11, 4, -0.5
line, 0, 0, 1
line, 1, 1, 2
line, 2, 2, 3
line, 3, 3, 4
line, 4, 2, 5
line, 5, 1, 6
line, 6, 1, 5
line, 7, 2, 4
line, 8, 0, 6
line, 9, 6, 5
line, 10, 5, 4
line, 11, 7, 8
line, 12, 8, 9
line, 13, 9, 3
line, 14, 9, 10
line, 15, 8, 11
line, 16, 8, 10
line, 17, 9, 4
line, 18, 7, 11
line, 19, 11, 10
line, 20, 10, 4
cnst, 0, 0, 90
cnst, 7, 1, 90
load, 5, 100, 60
load, 6, 150, 60
load, 4, 200, 60
